,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
234,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-10-06,-16.0,-7.0,37.0,-14.0,-18.0,2.0
235,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-10-07,-19.0,-6.0,0.0,-18.0,-18.0,3.0
236,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-10-08,-19.0,-8.0,16.0,-17.0,-17.0,2.0
237,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-10-09,-20.0,-9.0,31.0,-16.0,-17.0,1.0
238,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-10-10,-20.0,-12.0,15.0,-26.0,-9.0,2.0
239,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-10-11,-41.0,-30.0,-31.0,-32.0,-15.0,4.0
240,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-10-12,-20.0,-8.0,-11.0,-20.0,-17.0,3.0
241,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-10-13,-23.0,-10.0,-12.0,-22.0,-18.0,4.0
242,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-10-14,-21.0,-9.0,-6.0,-20.0,-17.0,4.0
243,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-10-15,-22.0,-7.0,-17.0,-20.0,-17.0,4.0
244,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-10-16,-24.0,-10.0,-31.0,-24.0,-17.0,5.0
245,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-10-17,-22.0,-14.0,-14.0,-31.0,-12.0,4.0
246,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-10-18,-31.0,-23.0,18.0,-25.0,-13.0,2.0
247,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-10-19,-21.0,-13.0,3.0,-20.0,-16.0,3.0
248,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-10-20,-21.0,-11.0,19.0,-20.0,-17.0,3.0
249,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-10-21,-22.0,-12.0,16.0,-19.0,-16.0,4.0
250,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-10-22,-23.0,-9.0,9.0,-18.0,-17.0,4.0
251,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-10-23,-24.0,-6.0,-1.0,-21.0,-18.0,4.0
252,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-10-24,-26.0,-8.0,-10.0,-31.0,-12.0,4.0
253,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-10-25,-25.0,-14.0,49.0,-25.0,-17.0,1.0
254,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-10-26,-56.0,-87.0,58.0,-52.0,-80.0,19.0
255,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-10-27,-18.0,4.0,-11.0,-27.0,-31.0,6.0
256,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-10-28,-19.0,-8.0,25.0,-26.0,-30.0,6.0
257,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-10-29,-24.0,-10.0,-24.0,-33.0,-31.0,8.0
258,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-10-30,-23.0,-5.0,-24.0,-34.0,-31.0,8.0
259,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-10-31,-24.0,-10.0,11.0,-28.0,-10.0,3.0
260,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-11-01,-39.0,-26.0,-9.0,-32.0,-16.0,3.0
261,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-11-02,-17.0,-14.0,7.0,-31.0,-31.0,7.0
262,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-11-03,-50.0,-16.0,-12.0,-43.0,-30.0,11.0
263,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-11-04,-47.0,-12.0,-25.0,-39.0,-28.0,11.0
264,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-11-05,-45.0,-10.0,-19.0,-37.0,-28.0,11.0
265,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-11-06,-46.0,-8.0,-7.0,-38.0,-28.0,11.0
266,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-11-07,-46.0,-12.0,13.0,-42.0,-24.0,9.0
267,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-11-08,-67.0,-36.0,9.0,-45.0,-32.0,7.0
268,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-11-09,-40.0,-14.0,-18.0,-37.0,-28.0,10.0
269,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-11-10,-41.0,-11.0,-12.0,-36.0,-28.0,11.0
270,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-11-11,-43.0,-12.0,-15.0,-36.0,-29.0,11.0
271,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-11-12,-44.0,-11.0,-21.0,-37.0,-29.0,11.0
272,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-11-13,-42.0,-6.0,-18.0,-38.0,-29.0,12.0
273,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-11-14,-38.0,-7.0,-4.0,-42.0,-24.0,8.0
274,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-11-15,-68.0,-38.0,-1.0,-45.0,-30.0,7.0
275,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-11-16,-19.0,-2.0,-24.0,-33.0,-27.0,8.0
276,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-11-17,-69.0,-27.0,-11.0,-51.0,-40.0,16.0
277,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-11-18,-67.0,-21.0,5.0,-49.0,-40.0,15.0
278,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-11-19,-69.0,-21.0,-34.0,-53.0,-41.0,17.0
279,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-11-20,-70.0,-18.0,-35.0,-54.0,-41.0,18.0
280,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-11-21,-73.0,-21.0,-4.0,-56.0,-36.0,13.0
281,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-11-22,-73.0,-45.0,6.0,-52.0,-37.0,9.0
282,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-11-23,-64.0,-21.0,-28.0,-51.0,-39.0,15.0
283,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-11-24,-65.0,-19.0,-13.0,-50.0,-39.0,15.0
284,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-11-25,-66.0,-18.0,-23.0,-51.0,-39.0,16.0
285,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-11-26,-67.0,-18.0,-30.0,-51.0,-39.0,16.0
286,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-11-27,-67.0,-13.0,-31.0,-53.0,-39.0,17.0
287,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-11-28,-71.0,-17.0,-22.0,-56.0,-34.0,13.0
288,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-11-29,-73.0,-44.0,-5.0,-51.0,-35.0,9.0
289,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-11-30,-60.0,-15.0,-16.0,-47.0,-37.0,13.0
290,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-12-01,-62.0,-12.0,-21.0,-48.0,-37.0,14.0
291,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-12-02,-64.0,-14.0,-29.0,-49.0,-37.0,15.0
292,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-12-03,-65.0,-15.0,-29.0,-46.0,-38.0,16.0
293,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-12-04,-64.0,-7.0,-35.0,-49.0,-37.0,16.0
294,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-12-05,-68.0,-12.0,-22.0,-51.0,-31.0,12.0
295,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-12-06,-73.0,-44.0,-26.0,-51.0,-33.0,9.0
296,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-12-07,-25.0,5.0,-16.0,-40.0,-43.0,12.0
297,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-12-08,-50.0,-48.0,-8.0,-60.0,-79.0,24.0
298,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-12-09,-38.0,-2.0,-28.0,-34.0,-26.0,10.0
299,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-12-10,-40.0,-5.0,-37.0,-35.0,-26.0,11.0
300,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-12-11,-40.0,-1.0,-28.0,-35.0,-25.0,10.0
301,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-12-12,-39.0,-3.0,-22.0,-37.0,-21.0,8.0
302,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-12-13,-68.0,-36.0,-17.0,-44.0,-30.0,8.0
303,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-12-14,-31.0,-5.0,-15.0,-33.0,-25.0,8.0
304,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-12-15,-34.0,-2.0,-16.0,-33.0,-26.0,9.0
305,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-12-16,-35.0,0.0,-19.0,-32.0,-25.0,9.0
306,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-12-17,-37.0,0.0,-23.0,-31.0,-25.0,10.0
307,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-12-18,-38.0,1.0,-23.0,-30.0,-25.0,10.0
308,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-12-19,-38.0,-1.0,-23.0,-33.0,-21.0,8.0
309,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-12-20,-70.0,-37.0,-17.0,-45.0,-31.0,8.0
310,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-12-21,-19.0,10.0,-16.0,-33.0,-30.0,9.0
311,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-12-22,-24.0,18.0,-20.0,-34.0,-32.0,10.0
312,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-12-23,-23.0,35.0,-11.0,-34.0,-39.0,10.0
313,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-12-24,-63.0,-24.0,-41.0,-60.0,-76.0,20.0
314,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-12-25,-90.0,-92.0,-45.0,-73.0,-86.0,24.0
315,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-12-26,-86.0,-90.0,-17.0,-63.0,-56.0,14.0
316,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-12-27,-73.0,-39.0,-7.0,-53.0,-37.0,8.0
317,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-12-28,-66.0,-13.0,-27.0,-62.0,-64.0,21.0
318,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-12-29,-63.0,-13.0,19.0,-57.0,-65.0,20.0
319,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-12-30,-60.0,8.0,-11.0,-57.0,-64.0,20.0
320,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-12-31,-68.0,-12.0,7.0,-61.0,-75.0,22.0
